run_id,start_timestamp,end_timestamp,status,source,records_read,records_written,duplicates_removed,watermark_before,watermark_after,error_message
540237e6,2026-09-11T00:23:43.678485+00:00,2026-09-11T00:23:43.680283+00:00,SUCCESS,files,3,3,0,N/A,N/A,
55c9bb2f,2026-09-11T00:23:43.680411+00:00,2026-09-11T00:23:43.688424+00:00,SUCCESS,rest_api,122,120,2,N/A,2026-08-21T10:00:00,
65679951,2026-09-11T00:26:47.371856+00:00,2026-09-11T00:26:47.373689+00:00,SUCCESS,files,3,0,3,N/A,N/A,
1dc348dd,2026-09-11T00:26:47.373849+00:00,2026-09-11T00:26:47.378905+00:00,SUCCESS,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
8e26d1cc,2026-09-11T00:33:28.955122+00:00,2026-09-11T00:33:28.983232+00:00,SUCCESS,files,3,0,3,N/A,N/A,
8ed46463,2026-09-11T00:33:28.983479+00:00,2026-09-11T00:33:28.988145+00:00,FAILED,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/events?page=1&per_page=50&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
3268b3cc,2026-09-11T00:37:04.860461+00:00,2026-09-11T00:37:04.861917+00:00,SUCCESS,files,3,0,3,N/A,N/A,
ce62c3e9,2026-09-11T00:37:04.862088+00:00,2026-09-11T00:37:04.866926+00:00,SUCCESS,rest_api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,
